,date,high,low,open,close,volume,adjclose
0,2016-12-30,117.19999694824219,115.43000030517578,116.6500015258789,115.81999969482422,30586300.0,113.52413177490234
1,2016-12-29,117.11000061035156,116.4000015258789,116.44999694824219,116.7300033569336,15039500.0,114.41609191894531
2,2016-12-28,118.0199966430664,116.19999694824219,117.5199966430664,116.76000213623047,20905900.0,114.44550323486328
3,2016-12-27,117.80000305175781,116.48999786376953,116.5199966430664,117.26000213623047,18296900.0,114.93558502197266
4,2016-12-23,116.5199966430664,115.58999633789062,115.58999633789062,116.5199966430664,14181200.0,114.21024322509766
5,2016-12-22,116.51000213623047,115.63999938964844,116.3499984741211,116.29000091552734,26085900.0,113.98481750488281
6,2016-12-21,117.4000015258789,116.77999877929688,116.80000305175781,117.05999755859375,23783200.0,114.73955535888672
7,2016-12-20,117.5,116.68000030517578,116.73999786376953,116.94999694824219,21425000.0,114.63172912597656
8,2016-12-19,117.37999725341797,115.75,115.80000305175781,116.63999938964844,27779400.0,114.32787322998047
9,2016-12-16,116.5,115.6500015258789,116.47000122070312,115.97000122070312,44351100.0,113.67115783691406
10,2016-12-15,116.7300033569336,115.2300033569336,115.37999725341797,115.81999969482422,46524500.0,113.52413177490234
11,2016-12-14,116.19999694824219,114.9800033569336,115.04000091552734,115.19000244140625,34031800.0,112.9066162109375
12,2016-12-13,115.91999816894531,113.75,113.83999633789062,115.19000244140625,43733800.0,112.9066162109375
13,2016-12-12,115.0,112.48999786376953,113.29000091552734,113.30000305175781,26374400.0,111.05408477783203
14,2016-12-09,114.69999694824219,112.30999755859375,112.30999755859375,113.94999694824219,34402600.0,111.69120025634766
15,2016-12-08,112.43000030517578,110.5999984741211,110.86000061035156,112.12000274658203,27068300.0,109.89747619628906
16,2016-12-07,111.19000244140625,109.16000366210938,109.26000213623047,111.02999877929688,29998700.0,108.82907104492188
17,2016-12-06,110.36000061035156,109.19000244140625,109.5,109.94999694824219,26195500.0,107.7704849243164
18,2016-12-05,110.02999877929688,108.25,110.0,109.11000061035156,34324500.0,106.94713592529297
19,2016-12-02,110.08999633789062,108.8499984741211,109.16999816894531,109.9000015258789,26528000.0,107.72148132324219
20,2016-12-01,110.94000244140625,109.02999877929688,110.37000274658203,109.48999786376953,37086900.0,107.3196029663086
21,2016-11-30,112.19999694824219,110.2699966430664,111.5999984741211,110.5199966430664,36162300.0,108.32918548583984
22,2016-11-29,112.02999877929688,110.06999969482422,110.77999877929688,111.45999908447266,28528800.0,109.25056457519531
23,2016-11-28,112.47000122070312,111.38999938964844,111.43000030517578,111.56999969482422,27194000.0,109.3583755493164
24,2016-11-25,111.87000274658203,110.94999694824219,111.12999725341797,111.79000091552734,11475900.0,109.57402038574219
25,2016-11-23,111.51000213623047,110.33000183105469,111.36000061035156,111.2300033569336,27426400.0,109.02511596679688
26,2016-11-22,112.41999816894531,111.4000015258789,111.94999694824219,111.80000305175781,25965500.0,109.58381652832031
27,2016-11-21,111.98999786376953,110.01000213623047,110.12000274658203,111.7300033569336,29264600.0,109.51519775390625
28,2016-11-18,110.54000091552734,109.66000366210938,109.72000122070312,110.05999755859375,28428900.0,107.87830352783203
29,2016-11-17,110.3499984741211,108.83000183105469,109.80999755859375,109.94999694824219,27632000.0,107.7704849243164
30,2016-11-16,110.2300033569336,106.5999984741211,106.69999694824219,109.98999786376953,58840500.0,107.80968475341797
31,2016-11-15,107.68000030517578,106.16000366210938,106.56999969482422,107.11000061035156,32264500.0,104.98677825927734
32,2016-11-14,107.80999755859375,104.08000183105469,107.70999908447266,105.70999908447266,51175500.0,103.61453247070312
