Date,Open,High,Low,Close,Adj Close,Volume
2017-05-25,191.229996,193.0,189.830002,191.949997,191.949997,2175400
2017-05-26,192.779999,193.740005,190.08999599999999,190.389999,190.389999,1567700
2017-05-30,190.940002,192.28999299999998,189.360001,189.880005,189.880005,1915000
2017-05-31,189.949997,190.490005,184.320007,186.100006,186.100006,3396400
2017-06-01,186.149994,188.100006,185.58999599999999,187.259995,187.259995,2071200
2017-06-02,188.600006,189.25,187.0,187.600006,187.600006,1192500
2017-06-05,188.71000700000002,188.71000700000002,185.21000700000002,187.309998,187.309998,1424800
2017-06-06,186.729996,187.199997,184.509995,185.75,185.75,2080600
2017-06-07,186.240005,188.58999599999999,184.75,187.529999,187.529999,2451900
2017-06-08,191.600006,192.380005,183.679993,185.75,185.75,4893100
2017-06-09,186.029999,186.100006,178.21000700000002,181.070007,181.070007,4089200
2017-06-12,180.0,182.149994,177.309998,180.059998,180.059998,3057800
2017-06-13,181.520004,181.520004,177.240005,179.190002,179.190002,2571200
2017-06-14,180.600006,180.820007,176.199997,178.199997,178.199997,2142800
2017-06-15,176.190002,176.990005,173.520004,176.330002,176.330002,2718400
2017-06-16,176.41000400000001,176.41000400000001,173.66000400000001,173.880005,173.880005,2497100
2017-06-19,176.380005,179.229996,175.800003,176.929993,176.929993,2510700
2017-06-20,177.690002,178.419998,176.929993,177.850006,177.850006,1763400
2017-06-21,179.139999,181.0,177.929993,180.169998,180.169998,2074900
2017-06-22,179.25,180.71000700000002,177.990005,179.330002,179.330002,1751200
2017-06-23,180.320007,180.550003,177.610001,178.139999,178.139999,1765200
2017-06-26,180.58999599999999,181.740005,178.350006,178.46000700000002,178.46000700000002,2062200
2017-06-27,178.520004,178.649994,175.100006,175.600006,175.600006,2529400
2017-06-28,177.0,178.720001,175.830002,178.0,178.0,2635100
2017-06-29,177.53999299999998,180.46000700000002,177.220001,179.630005,179.630005,3128000
2017-06-30,180.440002,180.880005,178.309998,178.860001,178.860001,2083700
2017-07-03,179.899994,183.5,179.630005,179.970001,179.970001,1917200
2017-07-05,186.369995,187.25,182.169998,183.830002,183.830002,4449600
2017-07-06,183.880005,183.889999,180.679993,181.78999299999998,181.78999299999998,2415300
2017-07-07,181.78999299999998,182.779999,179.919998,181.399994,181.399994,1444500
2017-07-10,182.309998,183.940002,181.58999599999999,182.929993,182.929993,1467000
2017-07-11,183.199997,184.559998,181.830002,184.41000400000001,184.41000400000001,1541300
2017-07-12,185.809998,187.559998,185.259995,186.759995,186.759995,1897100
2017-07-13,187.470001,188.979996,186.149994,186.919998,186.919998,2229700
2017-07-14,187.990005,189.0,187.529999,188.550003,188.550003,1664900
2017-07-17,189.119995,191.779999,186.889999,188.229996,188.229996,2800900
2017-07-18,187.229996,190.100006,186.690002,189.509995,189.509995,1779100
2017-07-19,190.800003,192.350006,189.559998,190.91000400000001,190.91000400000001,2137400
2017-07-20,192.259995,192.860001,190.78999299999998,191.320007,191.320007,1571300
2017-07-21,190.96000700000002,193.199997,190.559998,193.179993,193.179993,1856800
2017-07-24,193.979996,199.25,193.020004,198.649994,198.649994,3927700
2017-07-25,198.5,198.649994,195.970001,197.050003,197.050003,2926200
2017-07-26,196.850006,201.229996,196.75,201.169998,201.169998,3493000
2017-07-27,204.009995,205.600006,197.110001,201.0,201.0,5326400
2017-07-28,211.00999500000003,225.600006,208.800003,220.0,220.0,12591500
2017-07-31,223.58999599999999,230.0,223.05000299999998,226.350006,226.350006,8565200
2017-08-01,227.13999900000002,227.979996,222.169998,225.600006,225.600006,4342200
2017-08-02,224.11999500000002,224.63999900000002,218.580002,221.960007,221.960007,3689400
2017-08-03,221.0,227.97000099999997,220.55000299999998,227.38999900000002,227.38999900000002,3434900
2017-08-04,227.27999900000003,230.33999599999999,225.69999700000002,226.05000299999998,226.05000299999998,3521100
2017-08-07,225.600006,228.99000499999997,224.770004,227.16000400000001,227.16000400000001,2998400
2017-08-08,226.600006,233.36999500000002,226.539993,229.44999700000002,229.44999700000002,4022100
2017-08-09,227.190002,230.49000499999997,225.36000099999998,230.30000299999998,230.30000299999998,2514600
2017-08-10,227.5,228.99000499999997,220.47000099999997,222.57000699999998,222.57000699999998,4169100
2017-08-11,218.600006,224.66000400000001,216.19999700000002,223.49000499999997,223.49000499999997,3329900
2017-08-14,223.50999500000003,224.770004,221.0,223.690002,223.690002,2445900
2017-08-15,226.100006,227.66000400000001,223.57000699999998,225.330002,225.330002,2140400
2017-08-16,228.0,228.979996,225.710007,226.13999900000002,226.13999900000002,2214000
2017-08-17,226.419998,227.020004,220.36000099999998,221.05000299999998,221.05000299999998,2654500
2017-08-18,220.770004,221.190002,218.5,220.690002,220.690002,3056100
2017-08-21,223.5,227.94999700000002,221.88000499999998,222.479996,222.479996,2733900
2017-08-22,224.49000499999997,226.49000499999997,222.77999900000003,226.11000099999998,226.11000099999998,2463900
2017-08-23,224.850006,225.710007,223.63000499999998,224.99000499999997,224.99000499999997,1838200
2017-08-24,226.11999500000002,226.75,224.11000099999998,224.86000099999998,224.86000099999998,2151500
2017-08-25,224.960007,229.42999300000002,224.440002,225.55000299999998,225.55000299999998,2449100
2017-08-28,225.919998,226.789993,219.36000099999998,219.99000499999997,219.99000499999997,3002400
2017-08-29,216.0,221.69999700000002,213.52999900000003,220.690002,220.690002,2033700
2017-08-30,221.80000299999998,224.710007,220.36000099999998,223.88000499999998,223.88000499999998,1867700
2017-08-31,224.0,228.67999300000002,222.61000099999998,228.05000299999998,228.05000299999998,2422000
2017-09-01,228.25999500000003,233.789993,226.61000099999998,232.63999900000002,232.63999900000002,2657500
2017-09-05,231.289993,232.47000099999997,224.580002,225.30000299999998,225.30000299999998,3158500
2017-09-06,226.0,228.960007,223.539993,226.97000099999997,226.97000099999997,2003100
2017-09-07,226.0,233.539993,225.710007,233.17999300000002,233.17999300000002,2477200
2017-09-08,232.77999900000003,235.0,228.729996,229.229996,229.229996,1833600
2017-09-11,232.38999900000002,234.61999500000002,232.210007,233.5,233.5,2244800
2017-09-12,234.94999700000002,237.92999300000002,233.83999599999999,237.600006,237.600006,2411700
2017-09-13,237.57000699999998,239.0,235.44999700000002,236.41000400000001,236.41000400000001,2767700
2017-09-14,235.0,238.460007,234.80000299999998,237.330002,237.330002,2511600
2017-09-15,237.86999500000002,239.16000400000001,235.210007,235.210007,235.210007,5230300
2017-09-18,236.789993,240.42999300000002,235.580002,239.07000699999998,239.07000699999998,2972500
2017-09-19,239.02999900000003,240.13000499999998,235.69999700000002,237.850006,237.850006,2339400
2017-09-20,238.5,240.399994,235.50999500000003,237.960007,237.960007,2008500
2017-09-21,239.210007,239.690002,235.350006,238.919998,238.919998,2010500
2017-09-22,237.82000699999998,242.69999700000002,237.190002,240.57000699999998,240.57000699999998,1922400
2017-09-25,239.86999500000002,239.899994,230.580002,234.49000499999997,234.49000499999997,3487400
2017-09-26,236.289993,240.0,234.99000499999997,236.190002,236.190002,2392400
2017-09-27,240.020004,240.75,237.36000099999998,239.82000699999998,239.82000699999998,2158600
2017-09-28,238.47000099999997,242.36999500000002,237.19999700000002,241.27999900000003,241.27999900000003,1957500
2017-09-29,242.02999900000003,248.0,242.02999900000003,247.690002,247.690002,3402400
2017-10-02,248.61999500000002,250.57000699999998,246.5,248.669998,248.669998,2322300
2017-10-03,250.0,250.49000499999997,246.50999500000003,247.0,247.0,2000700
2017-10-04,246.25999500000003,247.0,243.669998,243.97000099999997,243.97000099999997,1755200
2017-10-05,246.49000499999997,247.5,242.22000099999997,245.270004,245.270004,2157200
2017-10-06,244.830002,247.86000099999998,244.16000400000001,247.690002,247.690002,1342800
2017-10-09,248.16000400000001,254.27999900000003,247.42999300000002,252.22000099999997,252.22000099999997,2405400
2017-10-10,254.36000099999998,262.690002,253.520004,262.410004,262.410004,4294500
2017-10-11,261.059998,263.440002,258.51001,260.320007,260.320007,2797500
2017-10-12,259.52999900000003,261.359985,258.059998,259.329987,259.329987,2185600
2017-10-13,260.109985,264.660004,259.609985,262.679993,262.679993,2111000
2017-10-16,264.980011,273.070007,264.0,272.820007,272.820007,3620200
2017-10-17,273.700012,274.97000099999997,269.440002,270.320007,270.320007,3191100
2017-10-18,271.100006,271.48999,266.97000099999997,268.97000099999997,268.97000099999997,2158600
2017-10-19,262.26001,265.52999900000003,259.149994,264.519989,264.519989,2982900
2017-10-20,268.399994,269.799988,264.350006,264.899994,264.899994,2115500
2017-10-23,266.100006,267.869995,261.51001,266.130005,266.130005,2018000
2017-10-24,266.200012,266.799988,263.119995,264.0,264.0,1642800
2017-10-25,264.679993,268.51001,257.690002,263.040009,263.040009,3120800
2017-10-26,262.059998,265.51001,259.47000099999997,260.619995,260.619995,3780100
2017-10-27,241.82000699999998,247.38999900000002,235.729996,239.36999500000002,239.36999500000002,10851300
2017-10-30,240.960007,244.55000299999998,232.440002,236.419998,236.419998,5107700
2017-10-31,238.0,244.41000400000001,235.02999900000003,243.940002,243.940002,3758200
2017-11-01,247.710007,251.17999300000002,245.25999500000003,245.42999300000002,245.42999300000002,3619000
2017-11-02,246.36999500000002,247.229996,239.5,242.08999599999999,242.08999599999999,2581800
2017-11-03,242.649994,244.38999900000002,240.32000699999998,241.539993,241.539993,1623100
2017-11-06,242.710007,246.69999700000002,240.80000299999998,244.52999900000003,244.52999900000003,1835100
2017-11-07,246.61999500000002,247.919998,242.41000400000001,243.47000099999997,243.47000099999997,1633500
2017-11-08,243.63000499999998,244.52999900000003,238.80000299999998,241.17999300000002,241.17999300000002,2088900
2017-11-09,237.99000499999997,240.55000299999998,236.289993,240.059998,240.059998,2565400
2017-11-10,239.580002,239.580002,236.5,237.399994,237.399994,1720500
2017-11-13,234.690002,238.460007,232.020004,237.36999500000002,237.36999500000002,1712900
2017-11-14,236.600006,237.0,232.919998,234.919998,234.919998,1563700
2017-11-15,232.00999500000003,234.83999599999999,226.00999500000003,234.210007,234.210007,2657200
2017-11-16,236.710007,240.710007,234.25999500000003,239.32000699999998,239.32000699999998,2265600
2017-11-17,241.80000299999998,243.039993,239.00999500000003,239.270004,239.270004,2227800
2017-11-20,241.0,242.63000499999998,237.66000400000001,238.539993,238.539993,2079600
2017-11-21,242.0,246.899994,240.19999700000002,244.30000299999998,244.30000299999998,2594800
2017-11-22,246.75,252.899994,246.38999900000002,249.649994,249.649994,3478300
2017-11-24,249.5,250.36999500000002,245.729996,249.419998,249.419998,1610900
2017-11-27,246.0,248.97000099999997,245.61999500000002,247.020004,247.020004,2018800
2017-11-28,249.0,249.0,241.91000400000001,244.02999900000003,244.02999900000003,2343800
